no,id,title,Category,title_seg,title_clean
Thread544,5069012056.0,是自闭症吗,0,是 自闭症 吗,自闭症
Thread567,5071207062.0,星智自然训练寓教于乐实践课,1,星智 自然 训练 寓教于乐 实践 课,星智 自然 训练 寓教于乐 实践 课
Thread568,5071211742.0,儿童自闭症康复训练技巧,0,儿童 自闭症 康复训练 技巧,儿童 自闭症 康复训练 技巧
Thread581,5075234038.0,5招解决孩子语言发育迟缓,0,5 招 解决 孩子 语言 发育 迟缓,招 解决 孩子 语言 发育 迟缓
Thread604,5081774882.0,《观世音菩萨普门品》忌五辛忌烟酒肉！虔诚念诵！千万莫攀缘精进,3,《 观世音 菩萨 普门品 》 忌 五辛忌 烟 酒肉 ！ 虔诚 念诵 ！ 千万 莫 攀缘 精进,观世音 菩萨 普门品 忌 五辛忌 烟 酒肉 虔诚 念诵 攀缘 精进
Thread608,5082025401.0,有人愿意跟我一起去流浪吗？北京出发，随便去哪里,4,有人 愿意 跟 我 一起 去 流浪 吗 ？ 北京 出发 ， 随便 去 哪里,有人 流浪 北京 出发 随便
Thread697,5107182570.0,求帮忙妹妹自闭症如何治疗,0,求 帮忙 妹妹 自闭症 如何 治疗,求 帮忙 妹妹 自闭症 治疗
Thread748,5117756170.0,当初1岁4个月，怀疑，现在1岁9个月了，还怀疑？,0,当初 1 岁 4 个 月 ， 怀疑 ， 现在 1 岁 9 个 月 了 ， 还 怀疑 ？,当初 岁 月 怀疑 岁 月 怀疑
Thread801,5131060280.0,求助,0,求助,求助
Thread821,5137078877.0,迷茫!下周去北京转机构，有没有,0,迷茫 ! 下周 去 北京 转 机构 ， 有没有,迷茫 下周 北京 转 机构 有没有
Thread840,5145185019.0,自闭症可以这样治疗,0,自闭症 可以 这样 治疗,自闭症 治疗
Thread873,5157744538.0,儿子经检查孤独症，求有经验的宝爸宝妈帮忙。,0,儿子 经 检查 孤独症 ， 求有 经验 的 宝爸 宝妈 帮忙 。,儿子 检查 孤独症 求有 经验 宝爸 宝妈 帮忙
Thread881,5160373517.0,我感觉我快疯了,0,我 感觉 我 快 疯 了,感觉 疯
Thread888,5163301055.0,优 酷网圣 贤教育陈 大 惠老,4,优   酷网 圣   贤 教育 陈   大   惠老,优 酷网 圣 贤 教育 陈 惠老
Thread900,5166754292.0,催眠术可以唤醒星星世界的孩子不,3,催眠术 可以 唤醒 星星 世界 的 孩子 不,催眠术 唤醒 星星 世界 孩子
Thread931,5176708209.0,杜佳楣：大龄自闭症孩子要不要继续做训练,1,杜佳楣 ： 大龄 自闭症 孩子 要 不要 继续 做 训练,杜佳楣 大龄 自闭症 孩子 做 训练
Thread1029,5214191200.0,武汉哪里有好的康复机构？请告知，谢谢！,0,武汉 哪里 有 好 的 康复 机构 ？ 请 告知 ， 谢谢 ！,武汉 康复 机构 请 告知 谢谢
Thread1052,5223610890.0,见证｜花3年教自闭症儿子上厕所,0,见证 ｜ 花 3 年教 自闭症 儿子 上 厕所,见证 花 年教 自闭症 儿子 厕所
Thread1092,5231776148.0,自闭症的宝宝会有嫉妒心吗？,0,自闭症 的 宝宝 会 有 嫉妒心 吗 ？,自闭症 宝宝 嫉妒心
Thread1094,5231924110.0,自闭症儿童语言康复训练的误区（您是否也出现了这些问题呢？）,0,自闭症 儿童 语言 康复训练 的 误区 （ 您 是否 也 出现 了 这些 问题 呢 ？ ）,自闭症 儿童 语言 康复训练 误区
Thread1127,5240683972.0,有没有做过vb-mapp评估的，怎么样？,0,有没有 做过 vb - mapp 评估 的 ， 怎么样 ？,有没有 做过 评估
Thread1144,5243605586.0,儿子两岁七个月  很多话突然不说了！,0,儿子 两岁 七个 月     很多 话 突然 不 说 了 ！,儿子 两岁 七个 月 话 说
Thread1197,5254237085.0,很多家长对于自闭症总是存在消极,0,很多 家长 对于 自闭症 总是 存在 消极,家长 自闭症 消极
Thread1226,5257259036.0,有没有后天自闭的朋友？我想跟你,0,有没有 后天 自闭 的 朋友 ？ 我 想 跟 你,有没有 后天 自闭 朋友 想
Thread1235,5258587773.0,请问深圳市宝安区沙井有没有好的干预学校,0,请问 深圳市 宝安区 沙井 有没有 好 的 干预 学校,请问 深圳市 宝安区 沙井 有没有 干预 学校
Thread1262,5265280581.0,孕期心情不好胎儿会得自闭症吗？,3,孕期 心情 不好 胎儿 会得 自闭症 吗 ？,孕期 心情 不好 胎儿 会得 自闭症
Thread1278,5270156649.0,星妈们如何教自闭症孩子的日常生活训练,0,星妈 们 如何 教 自闭症 孩子 的 日常生活 训练,星妈 教 自闭症 孩子 日常生活 训练
Thread1328,5283299869.0,青岛博物馆展出了自闭症孩子们画的画！,0,青岛 博物馆 展出 了 自闭症 孩子 们 画 的 画 ！,青岛 博物馆 展出 自闭症 孩子 画 画
Thread1360,5292573098.0,求教一下，自闭症孩子会学习数学,0,求教 一下 ， 自闭症 孩子 会 学习 数学,求教 自闭症 孩子 学习 数学
Thread1372,5295188921.0,跪求哥哥姐姐帮我看看我家孩子,0,跪求 哥哥 姐姐 帮 我 看看 我家 孩子,跪求 哥哥 姐姐 帮 我家 孩子
Thread1393,5297805199.0,这些画收获了千万点赞和惊叹，而这12幅将随着2017的消逝永远尘封,0,这些 画 收获 了 千万 点赞 和 惊叹 ， 而 这 12 幅 将 随着 2017 的 消逝 永远 尘封,画 收获 点赞 惊叹 幅 消逝 永远 尘封
Thread1403,5298470749.0,小主人农场自闭症治疗技术---治疗进行时（2017-18）天津亲然天使,1,小 主人 农场 自闭症 治疗 技术 - - - 治疗 进行 时 （ 2017 - 18 ） 天津 亲然 天使,主人 农场 自闭症 治疗 技术 治疗 时 天津 亲然 天使
Thread1417,5302100342.0,大宝三岁半了，是自闭症，不是重度，纠结要二胎，要做什么检测啊,0,大宝 三岁 半 了 ， 是 自闭症 ， 不是 重度 ， 纠结 要 二胎 ， 要 做 什么 检测 啊,大宝 三岁 自闭症 重度 纠结 二胎 做 检测
Thread1421,5302833993.0,各位亲们帮我看看我儿子是否是自闭症吧，我现在快抑郁了,0,各位 亲们 帮 我 看看 我 儿子 是否是 自闭症 吧 ， 我 现在 快 抑郁 了,亲们 帮 儿子 是否是 自闭症 抑郁
Thread1473,5313777105.0,家长问题 | 孩子年后不想上学,0,家长 问题   |   孩子 年 后 不想 上学,家长 孩子 年 不想 上学
Thread1539,5332868237.0,星宝上学北京海淀中心,1,星宝 上学 北京 海淀 中心,星宝 上学 北京 海淀 中心
Thread1544,5334320037.0,临沂哪里有比较好的康复训练机构,0,临沂 哪里 有 比较 好 的 康复训练 机构,临沂 康复训练 机构
Thread1553,5337547018.0,想问一下十几岁的自闭症家长,0,想 问 一下 十几岁 的 自闭症 家长,想 问 十几岁 自闭症 家长
Thread1564,5340852838.0,父母注意了，孩子患自闭症4大信号！,0,父母 注意 了 ， 孩子 患 自闭症 4 大 信号 ！,父母 孩子 患 自闭症 信号
Thread1657,5363329118.0,“骑士守星计划”启动 广东凌风摩友会到星智成长爱心互动送温暖,1,“ 骑士 守星 计划 ” 启动   广东 凌风摩友 会 到 星智 成长 爱心 互动 送温暖,骑士 守星 计划 启动 广东 凌风摩友 星智 成长 爱心 互动 送温暖
Thread1659,5363439854.0,在游戏中加强对动物的认知,0,在 游戏 中 加强 对 动物 的 认知,游戏 中 动物 认知
Thread1693,5371645427.0,求大家帮我看看孩子是自闭还是阿斯伯格,0,求 大家 帮 我 看看 孩子 是 自闭 还是 阿 斯伯格,求 帮 孩子 自闭 斯伯格
Thread1701,5373515527.0,帮忙看下这个算不算刻板行为？,0,帮忙 看 下 这个 算不算 刻板 行为 ？,帮忙 算不算 刻板
Thread1712,5376765990.0,有没广州佛山这边的爸爸妈妈,0,有 没 广州 佛山 这边 的 爸爸妈妈,广州 佛山 爸爸妈妈
Thread1854,5403592052.0,想请教下大家 家庭干预的方法有哪些？ 请问大家都是怎么做的呢,0,想 请教 下 大家   家庭 干预 的 方法 有 哪些 ？   请问 大家 都 是 怎么 做 的 呢,想 请教 家庭 干预 方法 请问 做
Thread1910,5431329185.0,大家好，我是一名自闭症教师，希望能给大家解疑,1,大家 好 ， 我 是 一名 自闭症 教师 ， 希望 能 给 大家 解疑,一名 自闭症 教师 希望 解疑
Thread1924,5436391355.0,我的儿子今年7月27号查出自闭症！！！开帖记录,0,我 的 儿子 今年 7 月 27 号 查出 自闭症 ！ ！ ！ 开帖 记录,儿子 月 号 查出 自闭症 开帖 记录
Thread1925,5436509080.0,儿子在医院干预的第三个月,0,儿子 在 医院 干预 的 第三个 月,儿子 医院 干预 第三个 月
Thread1927,5437219634.0,情感的提升,0,情感 的 提升,情感 提升
Thread1936,5439350275.0,宝宝2岁8个月、疑似自闭症，麻烦给判断下,0,宝宝 2 岁 8 个 月 、 疑似 自闭症 ， 麻烦 给 判断 下,宝宝 岁 月 疑似 自闭症 麻烦 判断
Thread1942,5441191920.0,请教大家，到底什么样的行为属于刻板行为？,0,请教 大家 ， 到底 什么样 的 行为 属于 刻板 行为 ？,请教 刻板
Thread1952,5443874614.0,孩子还算听老师的话,0,孩子 还算 听 老师 的话,孩子 还算 听 老师
Thread1955,5444451458.0,自闭症与惊厥,0,自闭症 与 惊厥,自闭症 惊厥
Thread1973,5448223475.0,儿子10月20日被诊断为自闭症谱系障碍，开帖记录,0,儿子 10 月 20 日 被 诊断 为 自闭症 谱系 障碍 ， 开帖 记录,儿子 月 日 诊断 自闭症 谱系 障碍 开帖 记录
Thread1991,5450480102.0,各位亲们看下是不是自闭症？内心煎熬啊,0,各位 亲们 看下 是不是 自闭症 ？ 内心 煎熬 啊,亲们 看下 自闭症 内心 煎熬
Thread2097,5470602337.0,说说孩子的情况,0,说 说 孩子 的 情况,说 说 孩子 情况
Thread2100,5470663319.0,请问大家，你家孩子，肠道功能好不好？,0,请问 大家 ， 你家 孩子 ， 肠道 功能 好不好 ？,请问 你家 孩子 肠道 功能 好不好
Thread2111,5474079107.0,我的儿子是自闭症吗？马上21个月了，以前会叫妈妈，奶奶，12,0,我 的 儿子 是 自闭症 吗 ？ 马上 21 个 月 了 ， 以前 会 叫 妈妈 ， 奶奶 ， 12,儿子 自闭症 月 妈妈 奶奶
Thread2120,5474632121.0,星智成长中心解说孩子说话晚不等同“大器晚成”,1,星智 成长 中心 解说 孩子 说话 晚 不 等同 “ 大器晚成 ”,星智 成长 中心 解说 孩子 说话 晚 等同 大器晚成
Thread2126,5475027246.0,自闭症孩子就业机会出现，家长们准备好了吗？,1,自闭症 孩子 就业机会 出现 ， 家长 们 准备 好了吗 ？,自闭症 孩子 就业机会 家长 好了吗
Thread2263,5491431316.0,貌似好久没发帖了，说说孩子的状况,0,貌似 好久没 发帖 了 ， 说 说 孩子 的 状况,貌似 好久没 发帖 说 说 孩子 状况
Thread2294,5495668920.0,星智少儿中心提醒-自闭症早发现早干预，让他们告别“孤独”,1,星智 少儿 中心 提醒 - 自闭症 早 发现 早 干预 ， 让 他们 告别 “ 孤独 ”,星智 少儿 中心 提醒 自闭症 早 发现 早 干预 告别 孤独
Thread2343,5503073015.0,一位平凡家长和孩子的真实经历,0,一位 平凡 家长 和 孩子 的 真实 经历,一位 平凡 家长 孩子 真实 经历
Thread2360,5503842074.0,大家都是怎么训练语言的,0,大家 都 是 怎么 训练 语言 的,训练 语言
Thread2374,5504673633.0,星智少儿成长中心——视听动教学法在自闭症训练中的综合运用技巧,1,星智 少儿 成长 中心 — — 视听 动 教学法 在 自闭症 训练 中 的 综合 运用 技巧,星智 少儿 成长 中心 视听 动 教学法 自闭症 训练 中 综合 技巧
Thread2442,5511288839.0,自闭 高敏宝宝 就这样被孤立吗,0,自闭   高敏 宝宝   就 这样 被 孤立 吗,自闭 高敏 宝宝 孤立
Thread2451,5512195761.0,宝宝一岁半去打五联最后一针  ，体检时候提了一下怎么原先爱说,0,宝宝 一岁 半去 打 五联 最后 一针     ， 体检 时候 提了 一下 怎么 原先 爱说,宝宝 一岁 半去 五联 一针 体检 提了 原先 爱说
Thread2477,5514228127.0,如何正确意识到自闭症的危害？,0,如何 正确 意识 到 自闭症 的 危害 ？,正确 意识 自闭症 危害
Thread2491,5515971788.0,"知道一个人的手机微信聊天记录号,如何查她的微信记录",4,"知道 一个 人 的 手机 微信 聊天记录 号 , 如何 查 她 的 微信 记录",手机 微信 聊天记录 号 查 微信 记录
Thread2509,5517520607.0,金字塔结构与幼儿发育迟缓问题的解决,0,金字塔 结构 与 幼儿 发育 迟缓 问题 的 解决,金字塔 结构 幼儿 发育 迟缓 解决
Thread2511,5517666897.0,大家的康复目标是什么?,0,大家 的 康复 目标 是 什么 ?,康复 目标
Thread2645,5530485610.0,自闭症孩子训练重要的是什么呢？,0,自闭症 孩子 训练 重要 的 是 什么 呢 ？,自闭症 孩子 训练
Thread2649,5531046313.0,自闭症的遗传和哪些因素有关？,3,自闭症 的 遗传 和 哪些因素 有关 ？,自闭症 遗传 哪些因素
Thread2682,5536087261.0,自闭症最佳治疗方式是什么？,0,自闭症 最佳 治疗 方式 是 什么 ？,自闭症 最佳 治疗 方式
Thread2709,5540470294.0,北京静语者家园大龄自闭症家园，招聘新老师，求帮忙介绍！,1,北京 静语者 家园 大龄 自闭症 家园 ， 招聘 新 老师 ， 求 帮忙 介绍 ！,北京 静语者 家园 大龄 自闭症 家园 招聘 新 老师 求 帮忙 介绍
Thread2733,5544085422.0,孩子的刻板行为越来越重，没有眼神的交流怎么办？,0,孩子 的 刻板 行为 越来越重 ， 没有 眼神 的 交流 怎么办 ？,孩子 刻板 越来越重 眼神 交流
Thread2769,5551025141.0,免费答疑,0,免费 答疑,免费 答疑
Thread2773,5551703597.0,为儿子找一名特教老师，地址是廊坊霸州，待遇优厚。,0,为 儿子 找 一名 特教 老师 ， 地址 是 廊坊 霸州 ， 待遇 优厚 。,儿子 找 一名 特教 老师 地址 廊坊 霸州 待遇 优厚
Thread2818,5564563272.0,公益微课来啦！听什么课由你决定！,2,公益 微课 来 啦 ！ 听 什么 课由 你 决定 ！,公益 微课 听 课由
Thread2826,5566942839.0,医护人员为自闭症患儿爱心捐款,0,医护人员 为 自闭症 患儿 爱心 捐款,医护人员 自闭症 患儿 爱心 捐款
Thread2885,5578010775.0,吧主在上海哪一区？？想当面咨询学习一下,0,吧 主在 上海 哪一区 ？ ？ 想 当面 咨询 学习 一下,主在 上海 哪一区 想 当面 咨询 学习
Thread2888,5578351897.0,北京自闭症家教陪读求职,1,北京 自闭症 家教 陪读 求职,北京 自闭症 家教 陪读 求职
Thread2898,5580686042.0,功夫武术之惊蛰养生运动   内养功,4,功夫 武术 之 惊蛰 养生 运动       内养功,功夫 武术 惊蛰 养生 运动 内养功
Thread2935,5589347800.0,我的帖子怎么被删了？我想问一下经颅磁到底有用吗？,0,我 的 帖子 怎么 被删 了 ？ 我 想 问 一下 经颅 磁 到底 有用吗 ？,帖子 被删 想 问 经颅 磁 有用吗
Thread2984,5597479109.0,星智少儿成长说说给孩子提供选择机会的好处,1,星智 少儿 成长 说 说 给 孩子 提供 选择 机会 的 好处,星智 少儿 成长 说 说 孩子 提供 选择 机会 好处
Thread3038,5604104170.0,一直忙的没空，今天上来。有了良好的睡眠，脑功能的康复就开始了,0,一直 忙 的 没空 ， 今天 上来 。 有 了 良好 的 睡眠 ， 脑 功能 的 康复 就 开始 了,忙 没空 睡眠 脑 功能 康复
Thread3040,5604163978.0,自闭时你可以加油，可以哭，但是别认输！,0,自闭 时 你 可以 加油 ， 可以 哭 ， 但是 别 认输 ！,自闭 时 加油 哭 认输
Thread3052,5605896921.0,自闭症金钥匙咨询专家提醒家长注意不要错过了干预康复自闭症儿童,1,自闭症 金钥匙 咨询 专家 提醒 家长 注意 不要 错过 了 干预 康复 自闭症 儿童,自闭症 金钥匙 咨询 专家 提醒 家长 错过 干预 康复 自闭症 儿童
Thread3083,5608578098.0,【自闭症金钥匙家庭干预小科普之强化物】我们能显示一个反应频率,1,【 自闭症 金钥匙 家庭 干预 小 科普 之 强化 物 】 我们 能 显示 一个 反应 频率,自闭症 金钥匙 家庭 干预 科普 强化 物 显示 频率
Thread3103,5611048876.0,请大家帮助看一下是自闭症吗？一岁七个月了。,0,请 大家 帮助 看 一下 是 自闭症 吗 ？ 一岁 七个 月 了 。,请 自闭症 一岁 七个 月
Thread3217,5624881857.0,河北廊坊霸州急招一到两名特教老师，待遇进来看,1,河北 廊坊 霸州 急招 一到 两名 特教 老师 ， 待遇 进来 看,河北 廊坊 霸州 急招 一到 两名 特教 老师 待遇
Thread3239,5626541933.0,自闭症金钥匙之语言和情绪 1.嘟囔。原因：无聊，偏好。 2.,1,自闭症 金钥匙 之 语言 和 情绪   1 . 嘟囔 。 原因 ： 无聊 ， 偏好 。   2 .,自闭症 金钥匙 语言 情绪 嘟囔 原因 无聊 偏好
Thread3308,5636895054.0,大家给点意见，我小孩注意力特别差，早教的一对一感统训练对这个,0,大家 给 点 意见 ， 我 小孩 注意力 特别 差 ， 早教 的 一对一 感统 训练 对 这个,点 意见 小孩 注意力 特别 差 早教 一对一 感统 训练
Thread3328,5639092583.0,"如何让孩子学会关注他人,共同关注六大阶段概述",0,"如何 让 孩子 学会 关注 他人 , 共同 关注 六大 阶段 概述",孩子 学会 关注 关注 六大 阶段 概述
Thread3340,5639733263.0,如果托管，你希望开设哪些托管课程？,0,如果 托管 ， 你 希望 开设 哪些 托管 课程 ？,托管 希望 开设 托管 课程
Thread3350,5641256757.0,在外面喊他知道扭头找妈妈了，不像以前那样不知道害怕满处跑了。,0,在 外面 喊 他 知道 扭头 找 妈妈 了 ， 不像 以前 那样 不 知道 害怕 满处 跑 了 。,外面 喊 扭头 找 妈妈 不像 害怕 满处 跑
Thread3360,5641948400.0,家有六岁半小孩，老说些乱七八糟的话，还老喜欢打断我说话，也很,0,家有 六岁 半 小孩 ， 老说些 乱七八糟 的话 ， 还 老 喜欢 打断 我 说话 ， 也 很,家有 六岁 小孩 老说些 乱七八糟 喜欢 打断 说话
Thread3379,5643517045.0,白云星智少儿心理成长中心“掌握与孩子沟通时的技巧和原则（一）,1,白云 星智 少儿 心理 成长 中心 “ 掌握 与 孩子 沟通 时 的 技巧 和 原则 （ 一 ）,白云 星智 少儿 心理 成长 中心 孩子 沟通 时 技巧 原则
Thread3435,5652705805.0,自闭症与催产素,3,自闭症 与 催产素,自闭症 催产素
Thread3445,5653386274.0,北京哪里有那种专门一对一的机构  急求,0,北京 哪里 有 那种 专门 一对一 的 机构     急求,北京 那种 一对一 机构 急求
Thread3479,5656888719.0,石家庄这边的哪里治疗,0,石家庄 这边 的 哪里 治疗,石家庄 治疗
Thread3482,5657104156.0,怎么这个吧里都是说自己家小孩子。。我感觉自己是个奇葩，我在十,0,怎么 这个 吧 里 都 是 说 自己 家 小孩子 。 。 我 感觉 自己 是 个 奇葩 ， 我 在 十,里 说 家 小孩子 感觉 奇葩 十
Thread3484,5657250429.0,自闭还是运动精神发育迟缓？怎么办？着急,0,自闭 还是 运动 精神 发育 迟缓 ？ 怎么办 ？ 着急,自闭 运动 精神 发育 迟缓 着急
Thread3590,5675867548.0,前几天给儿子挂了个华西医院一级专家的号，今天驱车几个小时赶到,0,前 几天 给 儿子 挂 了 个 华西 医院 一级 专家 的 号 ， 今天 驱车 几个 小时 赶到,前 几天 儿子 挂 华西 医院 一级 专家 号 驱车 几个 小时 赶到
Thread3636,5681563668.0,好久没来，孩子撒谎的问题,0,好久没 来 ， 孩子 撒谎 的 问题,好久没 孩子 撒谎
Thread3651,5682679550.0,两度癌症的爸爸面对自闭症儿子和抑郁症妈妈，该如何绝地求生？,0,两度 癌症 的 爸爸 面对 自闭症 儿子 和 抑郁症 妈妈 ， 该 如何 绝地 求生 ？,两度 癌症 爸爸 面对 自闭症 儿子 抑郁症 妈妈 绝地 求生
Thread3746,5697618018.0,孩子还小，不要轻易定性自闭症没有那么多的，我小孩2岁半，之前,0,孩子 还 小 ， 不要 轻易 定性 自闭症 没有 那么 多 的 ， 我 小孩 2 岁 半 ， 之前,孩子 轻易 定性 自闭症 小孩 岁
Thread3757,5698784423.0,真的是无比尴尬,0,真的 是 无比 尴尬,真的 无比 尴尬
Thread3819,5707050765.0,各位自闭症家长，有些事情给你们提个醒，别被骗子忽悠了。,0,各位 自闭症 家长 ， 有些 事情 给 你们 提个醒 ， 别 被 骗子 忽悠 了 。,自闭症 家长 事情 提个醒 骗子 忽悠
Thread3859,5712110638.0,孩子刚开始被机构耽误了，所以很有感触,0,孩子 刚 开始 被 机构 耽误 了 ， 所以 很 有 感触,孩子 机构 耽误 感触
Thread3890,5716165845.0,欢迎加入宝贝交流群，群聊号码：715376971,2,欢迎 加入 宝贝 交流 群 ， 群聊 号码 ： 715376971,宝贝 交流 群 群聊 号码
Thread3915,5721166425.0,只有暑假一个多月的时间，求广州靠谱机构,0,只有 暑假 一个多月 的 时间 ， 求 广州 靠 谱 机构,暑假 一个多月 时间 求 广州 谱 机构
Thread3934,5723521672.0,自闭症交流群～,2,自闭症 交流 群 ～,自闭症 交流 群
Thread3978,5729136187.0,我家三岁零一个月了，问他几岁叫什么名字都不会回答，大部分时候,0,我家 三岁 零 一个月 了 ， 问 他 几岁 叫 什么 名字 都 不会 回答 ， 大部分 时候,我家 三岁 零 一个月 问 几岁 名字 回答 大部分
Thread4039,5737337113.0,求家庭干预的视频教材,0,求 家庭 干预 的 视频 教材,求 家庭 干预 视频 教材
Thread4042,5737626476.0,我只是说了今天的一些表现还不错，为什么被删除！今天不好的表现,0,我 只是 说 了 今天 的 一些 表现 还 不错 ， 为什么 被 删除 ！ 今天 不好 的 表现,说 表现 不错 删除 不好 表现
Thread4113,5747617582.0,有没有比较权威的自闭症评估量表，急求！！！,0,有没有 比较 权威 的 自闭症 评估 量表 ， 急求 ！ ！ ！,有没有 权威 自闭症 评估 量表 急求
Thread4134,5751690264.0,急寻青岛市黄岛区儿童康复中心的电话,0,急寻 青岛市 黄岛区 儿童 康复中心 的 电话,急寻 青岛市 黄岛区 儿童 康复中心 电话
Thread4148,5754246386.0,宝宝昨天笑的很灿烂，还是不喜欢理人。,0,宝宝 昨天 笑 的 很 灿烂 ， 还是 不 喜欢 理人 。,宝宝 昨天 笑 灿烂 喜欢 理人
Thread4191,5763640394.0,医院预约不上 帮我判断下 谢谢大家,0,医院 预约 不上   帮 我 判断 下   谢谢 大家,医院 预约 不上 帮 判断 谢谢
Thread4199,5764492427.0,问问各位大神，我家宝宝4岁半，上幼儿园小班，最近发现他喜欢推,0,问问 各位 大神 ， 我家 宝宝 4 岁 半 ， 上 幼儿园 小班 ， 最近 发现 他 喜欢 推,问问 大神 我家 宝宝 岁 幼儿园 小班 发现 喜欢 推
Thread4208,5765474461.0,上海哪家医院确定自闭症比较权威，想带孩子去确诊一下？求回复,0,上海 哪家 医院 确定 自闭症 比较 权威 ， 想带 孩子 去 确诊 一下 ？ 求 回复,上海 哪家 医院 自闭症 权威 想带 孩子 确诊 求 回复
Thread4213,5766357790.0,请问，那些被医生诊断为疑似自闭症的孩子，在这之后是否有做过脑,0,请问 ， 那些 被 医生 诊断 为 疑似 自闭症 的 孩子 ， 在 这 之后 是否 有 做 过脑,请问 医生 诊断 疑似 自闭症 孩子 做 过脑
Thread4243,5771672731.0,2岁半宝宝，请各位大神们看看吧,0,2 岁 半 宝宝 ， 请 各位 大神 们 看看 吧,岁 宝宝 请 大神
Thread4267,5776313973.0,帮我看看，我家宝宝是自闭吗？,0,帮 我 看看 ， 我家 宝宝 是 自闭 吗 ？,帮 我家 宝宝 自闭
Thread4335,5784700871.0,再生一个孩子，我不给他打疫苗，可以吗,3,再生 一个 孩子 ， 我 不 给 他 打 疫苗 ， 可以 吗,再生 孩子 疫苗
Thread4358,5788071742.0,是迟缓还是闭？,0,是 迟缓 还是 闭 ？,迟缓 闭
Thread4384,5791154497.0,"转贴:孩子泛化差换了机构,这家机构以提升社交能力和心智为主【自...",1,"转贴 : 孩子 泛化 差换 了 机构 , 这家 机构 以 提升 社交能力 和 心智 为主 【 自 ...",孩子 泛化 差换 机构 这家 机构 提升 社交能力 心智
Thread4404,5792875921.0,一下子，我的天空全灰了，医生说我儿子是自闭症，4岁多了，干预,0,一下子 ， 我 的 天空 全灰 了 ， 医生 说 我 儿子 是 自闭症 ， 4 岁 多 了 ， 干预,一下子 天空 全灰 医生 说 儿子 自闭症 岁 干预
Thread4429,5796578518.0,家庭中可以实施的口部运动训练_上海育之星自闭症康复中心,1,家庭 中 可以 实施 的 口部 运动 训练 _ 上海 育之星 自闭症 康复中心,家庭 中 实施 口部 运动 训练 上海 育之星 自闭症 康复中心
Thread4452,5799183168.0,13个家庭，三天的浸泡，对于孩子的干预，我们有“奔头”了！,1,13 个 家庭 ， 三天 的 浸泡 ， 对于 孩子 的 干预 ， 我们 有 “ 奔头 ” 了 ！,家庭 三天 浸泡 孩子 干预 奔头
Thread4466,5801092719.0,为什么自闭症患病率持续增加？十有八九是这一因素造成的,3,为什么 自闭症 患病率 持续 增加 ？ 十有八九 是 这 一 因素 造成 的,自闭症 患病率 持续 增加 十有八九 因素
Thread4489,5803499171.0,在这两个月里，宝宝由基本无语言，到现在认识并能说出的物品词语,0,在 这 两个 月 里 ， 宝宝 由 基本 无 语言 ， 到 现在 认识 并 能 说出 的 物品 词语,两个 月 里 宝宝 语言 说出 物品 词语
Thread4496,5803991769.0,为什么世界上的自闭症孩子数量越来越多？这种现象代表了什么吗？,0,为什么 世界 上 的 自闭症 孩子 数量 越来越 多 ？ 这种 现象 代表 了 什么 吗 ？,世界 自闭症 孩子 数量 越来越 现象 代表
