no,id,title,Category
Thread1197,5254237085,很多家长对于自闭症总是存在消极,0
Thread1226,5257259036,有没有后天自闭的朋友？我想跟你,0
Thread1235,5258587773,请问深圳市宝安区沙井有没有好的干预学校,0
Thread1262,5265280581,孕期心情不好胎儿会得自闭症吗？,3
Thread1278,5270156649,星妈们如何教自闭症孩子的日常生活训练,0
Thread1328,5283299869,青岛博物馆展出了自闭症孩子们画的画！,0
Thread1360,5292573098,求教一下，自闭症孩子会学习数学,0
Thread1372,5295188921,跪求哥哥姐姐帮我看看我家孩子,0
Thread1393,5297805199,这些画收获了千万点赞和惊叹，而这12幅将随着2017的消逝永远尘封,0
Thread1403,5298470749,小主人农场自闭症治疗技术---治疗进行时（2017-18）天津亲然天使,1
Thread1417,5302100342,大宝三岁半了，是自闭症，不是重度，纠结要二胎，要做什么检测啊,0
Thread1421,5302833993,各位亲们帮我看看我儿子是否是自闭症吧，我现在快抑郁了,0
Thread1473,5313777105,家长问题 | 孩子年后不想上学,0
Thread1539,5332868237,星宝上学北京海淀中心,1
Thread1544,5334320037,临沂哪里有比较好的康复训练机构,0
Thread1553,5337547018,想问一下十几岁的自闭症家长,0
Thread1564,5340852838,父母注意了，孩子患自闭症4大信号！,0
Thread1657,5363329118,“骑士守星计划”启动 广东凌风摩友会到星智成长爱心互动送温暖,1
Thread1659,5363439854,在游戏中加强对动物的认知,0
Thread1693,5371645427,求大家帮我看看孩子是自闭还是阿斯伯格,0
Thread1701,5373515527,帮忙看下这个算不算刻板行为？,0
Thread1712,5376765990,有没广州佛山这边的爸爸妈妈,0
Thread1854,5403592052,想请教下大家 家庭干预的方法有哪些？ 请问大家都是怎么做的呢,0
Thread1910,5431329185,大家好，我是一名自闭症教师，希望能给大家解疑,1
Thread1924,5436391355,我的儿子今年7月27号查出自闭症！！！开帖记录,0
Thread1925,5436509080,儿子在医院干预的第三个月,0
Thread1927,5437219634,情感的提升,0
Thread1936,5439350275,宝宝2岁8个月、疑似自闭症，麻烦给判断下,0
Thread1942,5441191920,请教大家，到底什么样的行为属于刻板行为？,0
Thread1952,5443874614,孩子还算听老师的话,0
Thread1955,5444451458,自闭症与惊厥,0
Thread1973,5448223475,儿子10月20日被诊断为自闭症谱系障碍，开帖记录,0
Thread1991,5450480102,各位亲们看下是不是自闭症？内心煎熬啊,0
Thread2097,5470602337,说说孩子的情况,0
Thread2100,5470663319,请问大家，你家孩子，肠道功能好不好？,0
Thread2111,5474079107,我的儿子是自闭症吗？马上21个月了，以前会叫妈妈，奶奶，12,0
Thread2120,5474632121,星智成长中心解说孩子说话晚不等同“大器晚成”,1
Thread2126,5475027246,自闭症孩子就业机会出现，家长们准备好了吗？,1
Thread2263,5491431316,貌似好久没发帖了，说说孩子的状况,0
Thread2294,5495668920,星智少儿中心提醒-自闭症早发现早干预，让他们告别“孤独”,1
Thread2343,5503073015,一位平凡家长和孩子的真实经历,0
Thread2360,5503842074,大家都是怎么训练语言的,0
Thread2374,5504673633,星智少儿成长中心——视听动教学法在自闭症训练中的综合运用技巧,1
Thread2442,5511288839,自闭 高敏宝宝 就这样被孤立吗,0
Thread2451,5512195761,宝宝一岁半去打五联最后一针  ，体检时候提了一下怎么原先爱说,0
Thread2477,5514228127,如何正确意识到自闭症的危害？,0
Thread2491,5515971788,"知道一个人的手机微信聊天记录号,如何查她的微信记录",4
Thread2509,5517520607,金字塔结构与幼儿发育迟缓问题的解决,0
Thread2511,5517666897,大家的康复目标是什么?,0
Thread2645,5530485610,自闭症孩子训练重要的是什么呢？,0
Thread2649,5531046313,自闭症的遗传和哪些因素有关？,3
Thread2682,5536087261,自闭症最佳治疗方式是什么？,0
Thread2709,5540470294,北京静语者家园大龄自闭症家园，招聘新老师，求帮忙介绍！,1
Thread2733,5544085422,孩子的刻板行为越来越重，没有眼神的交流怎么办？,0
Thread2769,5551025141,免费答疑,0
Thread2773,5551703597,为儿子找一名特教老师，地址是廊坊霸州，待遇优厚。,0
Thread2818,5564563272,公益微课来啦！听什么课由你决定！,2
Thread2826,5566942839,医护人员为自闭症患儿爱心捐款,0
Thread2885,5578010775,吧主在上海哪一区？？想当面咨询学习一下,0
Thread2888,5578351897,北京自闭症家教陪读求职,1
Thread2898,5580686042,功夫武术之惊蛰养生运动   内养功,4
Thread2935,5589347800,我的帖子怎么被删了？我想问一下经颅磁到底有用吗？,0
Thread2984,5597479109,星智少儿成长说说给孩子提供选择机会的好处,1
Thread3038,5604104170,一直忙的没空，今天上来。有了良好的睡眠，脑功能的康复就开始了,0
Thread3040,5604163978,自闭时你可以加油，可以哭，但是别认输！,0
Thread3052,5605896921,自闭症金钥匙咨询专家提醒家长注意不要错过了干预康复自闭症儿童,1
Thread3083,5608578098,【自闭症金钥匙家庭干预小科普之强化物】我们能显示一个反应频率,1
Thread3103,5611048876,请大家帮助看一下是自闭症吗？一岁七个月了。,0
Thread3217,5624881857,河北廊坊霸州急招一到两名特教老师，待遇进来看,1
Thread3239,5626541933,自闭症金钥匙之语言和情绪 1.嘟囔。原因：无聊，偏好。 2.,1
Thread3308,5636895054,大家给点意见，我小孩注意力特别差，早教的一对一感统训练对这个,0
Thread3328,5639092583,"如何让孩子学会关注他人,共同关注六大阶段概述",0
Thread3340,5639733263,如果托管，你希望开设哪些托管课程？,0
Thread3350,5641256757,在外面喊他知道扭头找妈妈了，不像以前那样不知道害怕满处跑了。,0
Thread3360,5641948400,家有六岁半小孩，老说些乱七八糟的话，还老喜欢打断我说话，也很,0
Thread3379,5643517045,白云星智少儿心理成长中心“掌握与孩子沟通时的技巧和原则（一）,1
Thread3435,5652705805,自闭症与催产素,3
Thread3445,5653386274,北京哪里有那种专门一对一的机构  急求,0
Thread3479,5656888719,石家庄这边的哪里治疗,0
Thread3482,5657104156,怎么这个吧里都是说自己家小孩子。。我感觉自己是个奇葩，我在十,0
Thread3484,5657250429,自闭还是运动精神发育迟缓？怎么办？着急,0
Thread3590,5675867548,前几天给儿子挂了个华西医院一级专家的号，今天驱车几个小时赶到,0
Thread3636,5681563668,好久没来，孩子撒谎的问题,0
Thread3651,5682679550,两度癌症的爸爸面对自闭症儿子和抑郁症妈妈，该如何绝地求生？,0
Thread3746,5697618018,孩子还小，不要轻易定性自闭症没有那么多的，我小孩2岁半，之前,0
Thread3757,5698784423,真的是无比尴尬,0
Thread3819,5707050765,各位自闭症家长，有些事情给你们提个醒，别被骗子忽悠了。,0
Thread3859,5712110638,孩子刚开始被机构耽误了，所以很有感触,0
Thread3890,5716165845,欢迎加入宝贝交流群，群聊号码：715376971,2
Thread3915,5721166425,只有暑假一个多月的时间，求广州靠谱机构,0
Thread3934,5723521672,自闭症交流群～,2
Thread3978,5729136187,我家三岁零一个月了，问他几岁叫什么名字都不会回答，大部分时候,0
Thread4039,5737337113,求家庭干预的视频教材,0
Thread4042,5737626476,我只是说了今天的一些表现还不错，为什么被删除！今天不好的表现,0
Thread4113,5747617582,有没有比较权威的自闭症评估量表，急求！！！,0
Thread4134,5751690264,急寻青岛市黄岛区儿童康复中心的电话,0
Thread4148,5754246386,宝宝昨天笑的很灿烂，还是不喜欢理人。,0
Thread4191,5763640394,医院预约不上 帮我判断下 谢谢大家,0
Thread4199,5764492427,问问各位大神，我家宝宝4岁半，上幼儿园小班，最近发现他喜欢推,0
Thread4208,5765474461,上海哪家医院确定自闭症比较权威，想带孩子去确诊一下？求回复,0
Thread4213,5766357790,请问，那些被医生诊断为疑似自闭症的孩子，在这之后是否有做过脑,0
Thread4243,5771672731,2岁半宝宝，请各位大神们看看吧,0
Thread4267,5776313973,帮我看看，我家宝宝是自闭吗？,0
Thread4335,5784700871,再生一个孩子，我不给他打疫苗，可以吗,3
Thread4358,5788071742,是迟缓还是闭？,0
Thread4384,5791154497,"转贴:孩子泛化差换了机构,这家机构以提升社交能力和心智为主【自...",1
Thread4404,5792875921,一下子，我的天空全灰了，医生说我儿子是自闭症，4岁多了，干预,0
Thread4429,5796578518,家庭中可以实施的口部运动训练_上海育之星自闭症康复中心,1
Thread4452,5799183168,13个家庭，三天的浸泡，对于孩子的干预，我们有“奔头”了！,1
Thread4466,5801092719,为什么自闭症患病率持续增加？十有八九是这一因素造成的,3
Thread4489,5803499171,在这两个月里，宝宝由基本无语言，到现在认识并能说出的物品词语,0
Thread4496,5803991769,为什么世界上的自闭症孩子数量越来越多？这种现象代表了什么吗？,0
Thread4521,5807155232,家长们你们的小孩2岁体检是智力是多少岁？,0
Thread4549,5810985235,孩子在开始游戏前会有意识说123开始,0
Thread4586,5816012453,记录下宝宝三个月的进步。跟我的眼神对视多了起来，会拿各种他喜,0
Thread4602,5818140578,每个人的路都不一样！痛苦也是可以活出精彩,0
Thread4622,5820743050,没有长沙的家长抱团的，我微310601439，孩子出生于15,2
Thread4624,5820917138,自闭症的孩子不愿意上集体课怎么办，千万别强制上课_上海育之星,1
Thread4695,5831039523,我家宝宝11个月，很多问题都有存在,0
Thread4701,5831481391,刚才准备下雨，楼上晒着稻谷，父母在田里忙农活，不得已把小孩关,0
Thread4703,5831652801,宝宝11个月，之前一直不爱笑，今天有人说我宝宝症状最像自闭,0
Thread4714,5833330737,人生很难，心态放宽,4
Thread4716,5833396612,自闭症康复训练,0
Thread4813,5844444896,又被儿子咬了一下，因为他想玩水。弄一身，手很疼但是心更疼，什,0
Thread4928,5859551200,有多少人通过康复训练和正常孩子一样?,3
Thread4972,5865660518,记录我家的梁,0
Thread5013,5869362920,成都有哪些靠谱的康复机构,0
Thread5053,5873605959,肠道微生物与自闭症：学术成就与未解之谜,3
Thread5060,5874379146,吧里的老师们给看看我娃这种情况：1周9多，最近特别爱打小朋友,0
Thread5067,5875226165,我在残疾人托养中心那里住，求转自闭症托养相关手续流程(我身在,0
Thread5068,5875320815,关爱自闭症儿童是,0
Thread5102,5880452816,自闭就自闭吧，动画片也看不懂，我都怀疑是智障了,0
Thread5118,5882748570,给各位还在担心怀疑自己家宝宝是否患有自闭症的父母。图片来源于,0
Thread5122,5883124431,诺诺爸爸康复日记音频2：诺诺是如何获得语言的,0
Thread5129,5884480912,自闭症ABC结果是32分，真的不敢相信这个结果，我家宝宝在家,0
Thread5192,5893078766,医学预言之“自闭症的致病原因”,3
Thread5201,5895272937,宝宝现在两岁半，出去玩不听指令，给他吃零食或者拿手机出来的时,0
Thread5238,5899742722,请问各位怎样去选择自闭症康复训练机构？ 私人民营的要一二万一,0
Thread5275,5904914005,孩子这两天学会了刷牙很欣喜，希望越来越好,0
Thread5321,5909207324,请大伙分析一下孩子，求求你们，现在家人都不信,0
Thread5325,5909817194,有没有小时候自闭症的宝宝，长大了的，或者八九岁的，现在都什么,0
Thread5357,5912584522,有没有西安的，推荐一下靠谱机构,0
Thread5421,5917801872,【家长必读】朱璟：把训练融入生活并不难！,1
Thread5461,5919744210,被医院检查说宝宝是孤独症，请不要尽信医院 ，宝宝小不一定就是,3
Thread5467,5920237150,贵阳自闭症哪家医院好,0
Thread5470,5920605751,我究竟是做错了什么,0
Thread5477,5921556032,我的负面情绪我觉得我真的不是一个好妈妈。我在他不管不顾拿别人,0
Thread5516,5925051489,恰当的肠道微生物组成可持续缓解自闭症状,3
Thread5537,5927342297,强迫自闭小孩上感统训练是否得当,0
Thread5693,5945388298,快四岁了，我依然没有带他去医院，唉,0
Thread5699,5945974950,你需要知道的自闭症词汇表！广州 慧蓝  昨天在有关自闭症的书,1
Thread5751,5950426296,有多少人和我一样，希望眼前的一切只是一场梦，或者想从小时候重,0
Thread5842,5957432235,儿童自闭症测试 小程序上线了,1
Thread5876,5959917862,“自闭症”是如何发的，发生了怎么办？,0
Thread5882,5960592735,谁有ABA全套教程和语言康复教程，求告诉,0
Thread5884,5960631166,自闭症和小时候吃的奶粉有关系吗,3
Thread5921,5963540904,求助 重医儿童医院应该挂什么科？有推荐医生吗？,0
Thread5930,5964059606,作为家长，我们能做什么？孩子好像都不配合，怎么建立彼此关系？,0
Thread5955,5966250828,各位星娃家长看过来，有15年教龄的特教于老师在廊坊开讲了，教,1
Thread5973,5967696296,大家关掉电子产品 就会好 我是上个月检查说我孩子有倾向 孩子,3
Thread5974,5967721060,11月26日，孩子被确诊为中度孤独症,0
Thread5993,5969313494,重点是孩子对你的兴趣大过物,0
Thread6009,5970630686,想咨询下吧友，家里孩子是不是自闭症，我是孩子亲戚，之前他父母,0
Thread6014,5970733039,近年来，孤独症的发病率一直呈现不断上升的趋势。由于目前中国专,0
Thread6194,5985839597,分享：杭州家培班,1
Thread6255,5992519166,我是个十六岁自闭症孩子家长，今年孩子上高一了，在十多年的训练,0
Thread6278,5995014139,北京和上海哪里自闭学校比较好？,0
Thread6286,5995812825,前几天广州一宝妈因为孩子患有自闭症自杀，家长应该怎样应对生活,0
Thread6408,6004844603,我该如何以待,0
Thread6411,6005038532,仿说，要多久？还是会一直说下去？,0
Thread6450,6007899181,我家宝宝两岁半、会叫爸爸妈妈奶奶、单字全会说、双字会五、个四,0
Thread6473,6009407425,今天刚检查的食物不耐受,0
Thread6502,6012434178,现在孩子看不到头，虽然训练了，但是感觉效果不明显，好想带她去,0
Thread6514,6013612737,两岁整不会提示大小便，只会简单的几个单字和爷爷阿姨妈妈。分享,0
Thread6572,6019521883,我孩子上个月被北京儿童医院确诊，我自己在家干预了一个月，现在,0
Thread6573,6019593759,请问大家abc量表是怎么算分的，是轻微算一分，经常算两分，严,0
Thread6629,6028927710,我家儿子3岁，会叫爸爸妈妈爷爷奶奶，会说一些单词，能回答要和,0
Thread6630,6028939685,【谢谢您改变了我的一生】因为有您：我的孩子戒毒了；因为有您我,4
Thread6634,6029355451,有济宁的患者家属吗？,0
Thread6658,6030654339,邹城市特殊教育学校,1
Thread6718,6036035459,下雪了       来自遥远星球的孩子☔ 你知道什么是雪吗💦,0
Thread6729,6037415585,女儿4岁了。还不会与人正常的交流，刻板行为比较严重，比如反复,0
Thread6762,6039880974,高功能自闭症与阿斯伯格综合征之认知行为治疗（提纲）,0
Thread6789,6042146267,焦虑，愧疚，战战兢兢。。。,0
Thread6796,6042535606,一岁四个月女宝宝，是自闭嘛？,0
Thread6867,6048725087,宝宝1岁9个月不会说话，偶尔也蒙话。听不懂大人的话，不听指令,0
Thread6869,6048874041,半个月 从确诊重度低功能自闭症到疑是“脱帽”       今,0
Thread7105,6065778358,机构之余我自己在家制定孩子的综合干预计划，主要是根据vb和早,0
Thread7160,6070976224,孩子情绪激动，不能等待，有自伤行为怎么改善？,0
Thread7223,6075171292,自闭症的小孩会挑人吗？都回来三个月了就是不让爷爷奶奶把尿，尿,0
Thread7236,6076170885,北京金桥医院怎么样,1
Thread7239,6076740784,三周两个月轻度自闭症，在医院做康复训练，记录康复过程,0
Thread7265,6079257189,问一些问题三岁后自闭行为才会显现吗,0
Thread7270,6079516771,北京金桥医院可信吗,1
Thread7278,6079910318,杭州有没有好的机构推荐。,0
Thread7301,6081334333,求助！天津哪个医院可以做儿童食物不耐受检测？不是过敏源检测。,0
Thread7333,6083192393,深夜，发一贴解忧愁,0
Thread7344,6084132997,今天晚上孩子的表现让我很惊讶，以前的强化物奖励给孩子，一会就,0
Thread7362,6085176670,请问谁家有年龄大点的自闭症孩子(大于六岁的最好)，能给我描述,0
Thread7365,6085426592,我把我儿子吼哭了，大半夜哭的很伤心，我和儿子的关系瞬间崩塌，,0
Thread7378,6086284602,一个星期陪伴，儿子慢慢主动说一些语言了。,0
Thread7389,6087334630,请问大家做家庭干预一般是怎么做的，有没有买网上器材资料啥的能,0
Thread7419,6089473252,活的好累，没有一个人懂我，每天睡不着，感觉生活一点动力都没有,0
Thread7444,6091189104,求江西有那个培训机构比较好的，好迷茫求推荐,0
Thread7507,6096843737,每天都在希望与绝望中徘徊,0
Thread7526,6098018260,一个关于谱系的诊断的逻辑问题，求解,0
Thread7545,6099488084,深圳恩贝探索用马术治疗对自闭症孩子进行干预,3
Thread7569,6101953175,儿子刚在哈尔滨儿童医院确诊为自闭症！,0
Thread7572,6102179174,吧里有宝宝做经颅磁的吗？,3
Thread7581,6102752924,一个儿童专家说我们家孩子不是自闭症，但是有自闭倾向，是后天原,0
Thread7691,6109381631,自闭症要检查哪些项目？,0
Thread7713,6110962413,再发一个辅助调整自闭现象的偏方，低碳生酮饮食，以及椰子油．,3
Thread7762,6113937589,抑郁症，狂躁症，自闭症，精神分裂症等都是精神疾病，何氏医学家,1
Thread7770,6114393912,说下我儿子的情况。给一些深陷自闭症泥潭的家长一些信心。现在两,0
Thread7803,6117141462,这是不是刻板行为,0
Thread7816,6118069913,为啥偶发的帖子被删了.管理员老大在吗,0
Thread7820,6118389023,儿子两岁半发展疑似自闭症，到现在已经康复一个月了，这一个月来,3
Thread7824,6118684787,不爱社交，有语言，会和自己哥哥会玩，在陌生环境特别害羞，眼神也不是很好。在家里眼神还可以,0
Thread7835,6119646848,亲们有了解过托马迪斯吗,1
Thread7839,6119810458,喜欢付出，福报就越来越多；喜欢感恩，顺利就越来越多；￼喜欢助,4
Thread7855,6120663689,大家帮忙看看,0
Thread7894,6122507552,有没有在北京馨馨雨露参加过培训的？听说出语言特别好，是真的吗,1
Thread7907,6123068868,天津西青区招ABA家庭教师,1
Thread7938,6124482438,3周岁多，基本不会说话，说出来的就爸爸妈妈，有时候有意识，有,0
Thread7941,6124612346,莫名其妙身边人总三观不正支持坏人，还总遇见只许州官放火不许百,4
Thread7945,6124871492,我在大连地区，之前有很多经验，有问题的家长欢迎咨询。,1
Thread7957,6125110762,雅恩音乐治疗，让孩子哼着歌主动交流，发自内心地沟通！,3
Thread7959,6125205093,我孩子以前不跟人，自从上了两节课就离不开人了，为什么？,0
Thread8097,6133815474,我能办儿童医院的陆小彦，看小孩自闭症最专业,1
LZL117,1.02504E+11,理解能力可以，指令也都听，只要他懂的都会听会去做，现在主要是自言自语乱说多，还有对人的主动沟通和游戏不行，也不会要求去和小孩玩，看到了会去凑热闹，表达能力，比如自己要什么，自己衣服湿了！要求换衣服，都会说，我在玩手机他就在边上看着我，还说妈妈在打字,0
LZL145,1.02571E+11,没有得货癫痫,0
LZL146,1.02572E+11,成都没有这样的医院吗？,0
LZL171,1.03E+11,他们学东西很难。手拿不住东西。以前我教我儿子写字全程握住他的手教的。一松手笔就掉了。他也不会扫地。怎么教也教不会和大福拖地是一样的。坐不住或坐在凳子上总掉下来。走路不看脚底的。总摔跤。,0
LZL174,1.03001E+11,推荐给孩子放印能法师唱的《心经》和《大悲咒》。开智慧。就是没毛病的孩子听了也很好的。,3
LZL178,1.03005E+11,不过比起三个月前好一点，刚发现问题时叫她完全没反应，带她出去指东西给她看也不会看，现在叫她虽然不会应但会回头看，也开始会用手指一两样东西，会执行一些最简单的指令，复杂一点就听不懂，而且别人说什么她根本没兴趣。,0
LZL181,1.03021E+11,他三岁之前症状和自闭很多相同，不穿新衣新鞋，折腾个半死，走相同的路线，不做摇摇车，固执的都只吃一种东西，满嘴火星语，现在都还语序颠倒，你我用错，刻板的很，现在大了，好多都转变了，要相信自己的孩子，静待花开，想太多只会让自己烦恼，大人的心情最能影响孩子了,0
LZL209,1.03479E+11,智力没问题，身体协调性也好。就是不交流。,0
LZL231,1.03552E+11,你问他你吃什么呢？玩什么呢？出去玩吗？这些会回答吗？爱鹦鹉学舌吗,0
LZL256,1.03891E+11,妇幼保健院非得让做康复，我说不去结果他们生气了,0
LZL275,1.04109E+11,不要自责也不要难受，孩子出现一些问题，原因是多方面的，比如说生活环境等方面。反思自己的方式也挺必要的，总之不论有问题与否，我们都不能给自己太大的压力。,0
LZL287,1.04138E+11,我也是南京的，我家三周了，也不怎么会说，我着急死了，现在上小托，不和群，你是南京哪里？我南京江宁,0
LZL333,1.04434E+11,我觉得那本书我看过几次，基本就是教育家长怎么更好的与孩子接触，不是针对问题孩子的书，挺好的，,0
LZL336,1.04435E+11,叫妈妈，叫爸爸，我们会马上过来，需要耐心，多试几次，慢慢就会有效果的，我也是那个时候学习了很多，慢慢来！,0
LZL337,1.04435E+11,嗯,0
LZL341,1.04451E+11,谢谢您的帮助和建议！,0
LZL370,1.04677E+11,很心急呀，很后悔当时没有陪他,0
LZL391,1.0485E+11,谢谢您的回复,0
LZL425,1.0502E+11,孩子以前会指着广告牌让我读，现在好像都忘了，以前好玩灯开关现在也不玩了。还有孩子自己拿吃的往嘴里放困难。基因结果晚上拍照，帮我看看吧，谢谢,0
LZL431,1.05029E+11,你家的孩子和我家孩子很像上火啊,0
LZL470,1.05157E+11,你们孩子成都我的孩子好!,0
LZL499,1.05249E+11,加我,2
LZL601,1.05498E+11,孩子多大了,0
LZL657,1.05749E+11,希望越来越好,0
LZL671,1.05802E+11,你能和他对话，他在听就是好孩子。,0
LZL782,1.06103E+11,你去的什么医院呀，怎么还要吃药？,0
LZL816,1.06169E+11,鞍山的，我们一起为孩子！互相沟通吧,0
LZL859,1.06211E+11,我们医生确诊了，回家教了一个月会的词语已经好多了，会说大小便和主动说抱我开门之类的了，所以我有点怀疑是不是我以前跟他沟通太少了,0
LZL878,1.0622E+11,我打听的那个机构，北京的，一节课五十分钟，三十节课一万三,1
LZL895,1.06243E+11,怎样训练啊,0
LZL943,1.06377E+11,好的！谢谢了！,0
LZL964,1.06407E+11,@星河_魄如霜,0
LZL965,1.06407E+11,真不知道该说什么好，还是顶楼主吧,0
LZL976,1.06422E+11,另外关于机构，其实我很想说，的确有很多不靠谱的机构，也有一些机构老师方法并不是太专业，但真正好的机构，绝不是简单的机械训练而已。目前国内特殊教育领域起步晚，专业人才真的太少了，如果楼主看到过有经验的老师上课，就知道孩子有多喜欢。,0
LZL1058,1.06481E+11,我都不知道怎么骂你这种寡廉鲜耻的骗子了。,0
LZL1063,1.06488E+11,以您的经验给分析分析，谢谢啊,0
LZL1081,1.065E+11,你们家有去训练吗,0
LZL1088,1.06501E+11,为什么福建啊，你不是临沂人吗,0
LZL1161,1.06666E+11,不是学校是机构，早教的，全脑开发的，感统训练的都可以，看看里面的课程哪个适合你家宝宝，你家宝宝注意力集中么？我家宝宝最开始注意力很不集中，去大课表现很糟糕(给我媳妇气的哇哇哭)后来去一对一的感统训练开始成长。,0
LZL1205,1.06756E+11,你好，可以加个联系方式交流下吗，我家宝宝也是这种情况,0
LZL1256,1.06788E+11,咱们南阳长江路东头有个脑瘫医院。那里有几个自闭症的小朋友。 我看过一回。看着四五岁。到陌生环境 非常恐惧 抗拒。,0
LZL1301,1.06817E+11,楼主静心想想，你想求证的结果是与不是其实并不重要。他是你的孩子，独一无二，发现孩子的不足尽早干预，努力就有回报。,0
LZL1323,1.06825E+11,除了语言这块好像没有其它的，有时候跟人对视有的时候不，很喜欢跟小朋友们玩，这是吗,0
LZL1347,1.06839E+11,名已经报好了 老师说看眼神不是 但是这种情况根本不能去幼儿园啊,0
LZL1386,1.06915E+11,怎么了？,0
LZL1425,1.06952E+11,可以继续关注我以后分享的文章哦,2
LZL1433,1.06975E+11,你的宝贝不是，我和你同一个医院检查的，结果差不多，医生啥都没说啊，只是让我们多教教他，四岁半在复诊……,0
LZL1441,1.07004E+11,先针对性教一下语言，看看进步怎么样。我家的也是四岁半，但是社交不好，社交也是我最担心的，我觉得什么时候可以和小朋友一问一答就基本没问题了。,0
LZL1449,1.07032E+11,有 。,0
LZL1544,1.0722E+11,可添加我W--X：wnbz2017 聊聊,2
LZL1605,1.07474E+11,哎，难啊,0
LZL1655,1.0755E+11,效果肯定有 他们只是提供一个平台而已  主要还是靠家长  这是个长期的活  孩子发育的比同龄晚了不少  但是现阶段自闭倾向都消失了,0
LZL1696,1.07682E+11,我的宝宝就是总跳来跳去，吹气什么的没问题，害怕陌生环境,0
LZL1739,1.07766E+11,太聪明了 羡慕…,0
LZL1761,1.07846E+11,小宝难道也是的吗，才几个月看不出来吧,0
LZL1785,1.07995E+11,你好，你是哪里早期训练的？ 能加个Q  学习一下吗？ 多谢了,0
LZL1796,1.08041E+11,没有什么特别的刻板行为，就是喜欢汽车，不害怕陌生环境，最近才会双脚跳一下，但是他总是不跳，，不会骑小的那种三轮车，我们跟小朋友互动不好，不怎哦跟小人朋友们玩,0
LZL1823,1.08103E+11,听力，脑核磁共振，智力，发育检测，基因筛查，还有各种量表问卷,0
LZL1868,1.08215E+11,感谢您的关注，时间会证明一切！,0
LZL1920,1.08375E+11,飞升吧,4
LZL2004,1.08531E+11,真的很担心，虽然不管结果怎样主要是家长自己要努力，但还是想去让专家看看，都焦虑了,0
LZL2013,1.08578E+11,谢谢二位啊,0
LZL2045,1.08688E+11,两岁半,0
LZL2055,1.08693E+11,那肯定没有问题，我们肯定比医生更了解自己的宝宝。宝宝就是开窍晚，多教教就没事了，我个人感觉不用去医院，医生说的都会往严重的地方说。相信孩子是最棒的,3
LZL2136,1.08912E+11,无论是发育迟缓还是自闭症训练对孩子来说都是最好的，我们机构就有一些是发育迟缓的孩子,1
LZL2171,1.08999E+11,看过一篇文章，行为问题是分等级的，甚至有些刻板行为可以当做奖励来用。,0
LZL2201,1.09075E+11,但是她心情好的时候让她指我的鼻子嘴巴这些她都会,0
LZL2259,1.0912E+11,亲 为什么呢 求解答,0
LZL2302,1.0921E+11,不过可能国内的家长都这样吧～毕竟都崇尚养儿防老，喜欢攀比，孩子快乐不快乐无所谓，但一定不能比别人差……你们自己看着办吧。我只是在这个吧看看，觉得孩子真的是可怜,0
LZL2320,1.09237E+11,你家没撒问题 我家问题才多哦,0
